703605-25604; 59.011; -161.82; 4.6
703610-25339; 59.512; -139.671; 10.1
703620-25335; 59.456; -135.324; 6.1
703626-25323; 59.243; -135.509; 4.6
703710-25333; 57.048; -135.365; 4.3
703810-25309; 58.357; -134.564; 4.9
703830-25310; 57.499; -134.586; 8.5
703888-99999; 64.371; -161.224; 7
703894-25367; 55.58; -133.075; 3.7
703926-99999; 56.933; -154.183; 13
703950-25325; 55.357; -131.712; 23.2
703980-25308; 55.039; -131.579; 33.2
704140-45715; 52.717; 174.1; 37.2
704890-25616; 53.895; -166.543; 3.1
711680-99999; 43.733; -96.633; 481.5
720198-54813; 46.417; -86.65; 186.5
720333-53175; 33.898; -117.602; 162.5
720361-63870; 31.043; -86.312; 95.7
720362-63874; 31.846; -86.611; 137.5
720363-63872; 31.951; -85.129; 86.9
720365-99999; 42.074; -124.29; 140
720379-63882; 36.855; -84.856; 293.5
720382-99999; 63.49; -162.11; 28
720383-53847; 30.704; -87.023; 54.3
720413-99999; 34.267; -87.6; 284
720619-99999; 41.133; -104.867; 1877.6
720641-99999; 38.8; -104.517; 1899.5
720642-99999; 38.75; -104.85; 2039.7
720952-99999; 34.564; -117.675; 920.5
720963-99999; 32.067; -106.15; 1283
720964-99999; 30.033; -85.533; 4.6
720995-99999; 47.283; -110.367; 1234.4
720996-99999; 47.1; -110.167; 1336.6
720998-99999; 47.45; -109.417; 1116.5
720999-99999; 47.6; -112.317; 1343.3
721003-99999; 47.317; -111.467; 1108
721004-99999; 47.75; -111.55; 1152.1
721005-99999; 46.45; -109.8; 1329.8
721006-99999; 46.7; -109.733; 1414.3
721007-99999; 47.017; -109.633; 1256.1
721008-99999; 47.067; -109.033; 1161.3
721012-99999; 47.909; -100.927; 588.6
721013-99999; 47.714; -101.01; 598.6
721014-99999; 47.795; -101.299; 631.6
721015-99999; 47.751; -101.674; 640.7
721016-99999; 47.896; -101.674; 619.4
721017-99999; 48.12; -101.96; 643.7
721018-99999; 47.974; -102.223; 578.2
721019-99999; 48.345; -102.304; 678.2
721021-99999; 48.412; -101.892; 670.3
721022-99999; 48.551; -102.12; 693.4
721023-99999; 48.789; -102.269; 601.1
721024-99999; 48.673; -101.882; 569.4
721025-99999; 48.76; -101.592; 516
721026-99999; 48.825; -101.283; 466.3
722010-12836; 24.555; -81.752; 1.2
722015-12850; 24.583; -81.683; 1.8
722020-12839; 25.791; -80.316; 8.8
722026-12826; 25.483; -80.383; 1.5
722030-12844; 26.685; -80.099; 5.8
722038-12897; 26.152; -81.775; 2.7
722050-12815; 28.434; -81.325; 27.4
722060-13889; 30.495; -81.694; 7.9
722065-93837; 30.233; -81.667; 6.1
722080-13880; 32.899; -80.04; 12.2
722085-93831; 32.483; -80.717; 11.3
722096-53127; 35.976; -115.133; 749.2
722106-12835; 26.585; -81.861; 4.6
722110-12842; 27.962; -82.54; 5.8
722120-12833; 29.633; -83.105; 11.6
722137-13878; 31.152; -81.391; 4.9
722140-93805; 30.393; -84.353; 16.8
722175-13860; 32.633; -83.6; 89.6
722188-53985; 35.212; -91.737; 80.5
722190-13874; 33.63; -84.442; 307.9
722200-12832; 29.733; -85.033; 5.8
722210-13858; 30.483; -86.517; 26.5
722212-92814; 29.959; -81.34; 3.1
722215-13884; 30.78; -86.523; 57.9
722216-99999; 33.615; -81.084; 97.8
722223-13899; 30.478; -87.187; 34.1
722226-93841; 30.717; -87.017; 60.7
722230-13894; 30.688; -88.246; 65.5
722250-13829; 32.35; -85; 70.7
722255-93842; 32.516; -84.942; 119.5
722260-13895; 32.3; -86.408; 61.6
722265-13821; 32.383; -86.35; 52.1
722270-13864; 33.917; -84.517; 325.5
722275-53843; 31.309; -86.394; 94.5
722280-13876; 33.566; -86.745; 187.5
722287-13871; 33.587; -85.856; 181.1
722300-53864; 33.178; -86.782; 172.2
722310-12916; 29.993; -90.251; 1.2
722316-12958; 29.817; -90.017; 0.6
722336-99999; 29.33; -89.4; 1
722340-13865; 32.335; -88.744; 89.6
722358-93919; 31.183; -90.471; 125.9
722405-13976; 30.205; -91.988; 11.6
722410-12917; 29.951; -94.021; 4.9
722416-12971; 29.709; -98.046; 196.6
722430-12960; 29.98; -95.36; 29
722446-93987; 31.236; -94.754; 87.8
722448-13972; 32.354; -95.403; 165.8
722480-13957; 32.447; -93.824; 77.4
722484-53905; 32.543; -93.745; 54.6
722485-13944; 32.5; -93.667; 50.6
722486-13942; 32.516; -92.041; 24.1
722487-13935; 31.395; -92.291; 36
722500-12919; 25.914; -97.423; 7.3
722505-12904; 26.228; -97.654; 10.4
722506-12959; 26.184; -98.254; 30.5
722510-12924; 27.774; -97.512; 13.4
722515-12926; 27.683; -97.283; 5.5
722516-12928; 27.5; -97.817; 15.2
722518-12974; 27.9; -98.05; 78.3
722520-12907; 27.533; -99.467; 150.6
722523-12970; 29.339; -98.472; 174
722526-12947; 28.457; -99.218; 145.1
722530-12921; 29.544; -98.484; 240.5
722533-12962; 29.36; -99.174; 280.4
722535-12909; 29.383; -98.583; 210.3
722536-12911; 29.533; -98.262; 221.9
722540-13904; 30.183; -97.68; 146.3
722544-13958; 30.321; -97.76; 204.2
722550-12912; 28.861; -96.93; 35.1
722555-12935; 28.725; -96.254; 3.7
722560-13959; 31.619; -97.228; 152.4
722595-13911; 32.767; -97.45; 185.3
722597-93985; 32.782; -98.06; 283.5
722610-22010; 29.378; -100.927; 304.5
722615-22001; 29.367; -100.783; 329.8
722620-23055; 31.831; -104.809; 1663
722630-23034; 31.352; -100.495; 584
722640-93035; 30.371; -104.017; 1478
722650-23023; 31.948; -102.209; 872.3
722656-23040; 31.78; -103.202; 855.6
722660-13962; 32.411; -99.682; 545.6
722670-23042; 33.666; -101.823; 991.8
722678-23052; 36.741; -104.502; 1935.2
722680-23009; 33.308; -104.508; 1112.2
722686-23008; 34.383; -103.317; 1309.1
722687-93033; 32.334; -104.258; 985.1
722700-23044; 31.811; -106.376; 1194.2
722704-99999; 31.85; -106.38; 1203.4
722710-93045; 33.237; -107.268; 1478.3
722720-93026; 31.458; -109.606; 1251.2
722740-23160; 32.131; -110.955; 776.9
722745-23109; 32.167; -110.883; 824.2
722780-23183; 33.428; -112.004; 337.4
722785-23111; 33.55; -112.367; 330.7
722810-23199; 32.817; -115.683; -12.8
